timestamp,drone_id,x,y,z,controller,distance_to_path,data_age_seconds,hijack_detected,hijack_duration,max_path_deviation,data_loss_duration,success_metric,anomaly_type
2026-04-29 12:28:06.236,1,0.2273578941822052,-2.0959537029266357,0.010133327916264534,CTR-7F3A9C,0.8731907227261534,0.3501417636871338,False,0,0,0,0,NONE
2026-04-29 12:28:06.410,2,-0.27514681220054626,-2.100950002670288,0.006880597677081823,CTR-7F3A9C,1.192343434089828,0.3451821804046631,True,0,0,0,1,PATH_DEVIATION
2026-04-29 12:28:07.702,1,0.23121675848960876,-2.113955020904541,0.33281874656677246,CTR-7F3A9C,0.8901040170558786,0.01431727409362793,False,0,0.8731907227261534,0,0,NONE
2026-04-29 12:28:07.791,2,-0.2821694314479828,-2.11047625541687,0.278362512588501,CTR-7F3A9C,1.2004059089319454,0.009276628494262695,True,0.09508919715881348,1.192343434089828,0,1,PATH_DEVIATION
2026-04-29 12:28:08.531,1,0.24804385006427765,-2.1006689071655273,0.7944502234458923,CTR-7F3A9C,0.8739803426077676,0.26038551330566406,False,0,0.8901040170558786,0,0,NONE
2026-04-29 12:28:08.619,2,-0.2775784134864807,-2.0965888500213623,0.7088447213172913,CTR-7F3A9C,1.1876030090654683,0.232865571975708,True,1.3807947635650635,1.2004059089319454,0,1,PATH_DEVIATION
2026-04-29 12:28:09.357,1,0.23149804770946503,-2.1072747707366943,1.0068423748016357,CTR-7F3A9C,0.8834921821284597,0.46796250343322754,False,0,0.8901040170558786,0,0,NONE
2026-04-29 12:28:09.440,2,-0.27308207750320435,-2.102107048034668,0.9802482724189758,CTR-7F3A9C,1.1938704601433126,0.46285033226013184,True,2.208610773086548,1.2004059089319454,0,1,PATH_DEVIATION
2026-04-29 12:28:10.405,1,0.21835064888000488,-2.1167104244232178,1.080913782119751,CTR-7F3A9C,0.8953310309905794,0.321805477142334,False,0,0.8901040170558786,0,0,NONE
2026-04-29 12:28:10.478,2,-0.2631378173828125,-2.088463068008423,1.04136061668396,CTR-7F3A9C,1.1824298598621676,0.909278392791748,True,3.0299599170684814,1.2004059089319454,0,1,PATH_DEVIATION
2026-04-29 12:28:11.247,1,0.22334054112434387,-2.1055386066436768,1.0887939929962158,CTR-7F3A9C,0.8833830675312478,0.5684468746185303,False,0,0.8953310309905794,0,0,NONE
2026-04-29 12:28:11.385,2,-0.2631378173828125,-2.088463068008423,1.04136061668396,CTR-7F3A9C,1.1824298598621676,1.7515747547149658,True,4.06811785697937,1.2004059089319454,0,1,PATH_DEVIATION
2026-04-29 12:28:12.160,1,0.22837406396865845,-2.088780164718628,1.0888386964797974,CTR-7F3A9C,0.8659579839336405,0.24091172218322754,False,0,0.8953310309905794,0,0,NONE
2026-04-29 12:28:12.211,2,-0.2631378173828125,-2.088463068008423,1.04136061668396,CTR-7F3A9C,1.1824298598621676,2.6090450286865234,True,4.97427773475647,1.2004059089319454,0,1,PATH_DEVIATION
2026-04-29 12:28:12.978,1,0.24186767637729645,-2.0758779048919678,1.0744922161102295,CTR-7F3A9C,0.8507042398277447,0.5120365619659424,False,0,0.8953310309905794,0,0,NONE
2026-04-29 12:28:13.049,2,-0.2631378173828125,-2.088463068008423,1.04136061668396,CTR-7F3A9C,1.1824298598621676,3.4823813438415527,True,5.800695180892944,1.2004059089319454,0.5,1,TELEMETRY_LOSS
2026-04-29 12:28:13.882,1,0.27524739503860474,-2.043867588043213,1.0609534978866577,CTR-7F3A9C,0.8134902037216346,0.21677231788635254,False,0,0.8953310309905794,0,0,NONE
2026-04-29 12:28:13.941,2,-0.2631378173828125,-2.088463068008423,1.04136061668396,CTR-7F3A9C,1.1824298598621676,4.38654637336731,True,6.638314962387085,1.2004059089319454,1.0,1,TELEMETRY_LOSS
2026-04-29 12:28:14.620,1,0.3006208837032318,-2.0013885498046875,1.0465404987335205,CTR-7F3A9C,0.7678468157970127,0.35570645332336426,False,0,0.8953310309905794,0,0,NONE
2026-04-29 12:28:14.679,2,-0.2631378173828125,-2.088463068008423,1.04136061668396,CTR-7F3A9C,1.1824298598621676,5.12436056137085,True,7.530513763427734,1.2004059089319454,1.5,1,TELEMETRY_LOSS
2026-04-29 12:28:15.435,1,0.3208664655685425,-1.9690669775009155,1.041536569595337,CTR-7F3A9C,0.7333490123767367,0.5719940662384033,False,0,0.8953310309905794,0,0,NONE
2026-04-29 12:28:15.504,2,-0.2631378173828125,-2.088463068008423,1.04136061668396,CTR-7F3A9C,1.1824298598621676,5.939721345901489,True,8.268380403518677,1.2004059089319454,2.0,1,TELEMETRY_LOSS
2026-04-29 12:28:16.470,1,0.3482876121997833,-1.9069050550460815,1.0329023599624634,CTR-7F3A9C,0.6689069617652497,0.40616917610168457,False,0,0.8953310309905794,0,0,NONE
2026-04-29 12:28:16.590,2,-0.2631378173828125,-2.088463068008423,1.04136061668396,CTR-7F3A9C,1.1824298598621676,6.974878311157227,True,9.09320855140686,1.2004059089319454,2.5,1,TELEMETRY_LOSS
2026-04-29 12:28:17.396,1,0.38761770725250244,-1.8662068843841553,1.021693468093872,CTR-7F3A9C,0.6263292929632108,0.13170337677001953,False,0,0.8953310309905794,0,0,NONE
2026-04-29 12:28:17.466,2,-0.2631378173828125,-2.088463068008423,1.04136061668396,CTR-7F3A9C,1.1824298598621676,7.901055097579956,True,10.179594039916992,1.2004059089319454,3.0,1,TELEMETRY_LOSS
2026-04-29 12:28:18.370,1,0.394109308719635,-1.8577028512954712,1.0214887857437134,CTR-7F3A9C,0.6177309387931897,0.43050622940063477,False,0,0.8953310309905794,0,0,NONE
2026-04-29 12:28:18.443,2,-0.2631378173828125,-2.088463068008423,1.04136061668396,CTR-7F3A9C,1.1824298598621676,8.797921419143677,True,11.055874347686768,1.2004059089319454,3.5,1,TELEMETRY_LOSS
2026-04-29 12:28:19.219,1,0.40110060572624207,-1.8504879474639893,1.0149050951004028,CTR-7F3A9C,0.6104889395654595,0.15553736686706543,False,0,0.8953310309905794,0,0,NONE
2026-04-29 12:28:19.316,2,-0.2631378173828125,-2.088463068008423,1.04136061668396,CTR-7F3A9C,1.1824298598621676,9.72304105758667,True,12.032784461975098,1.2004059089319454,4.0,1,TELEMETRY_LOSS
2026-04-29 12:28:20.176,1,0.4009162187576294,-1.8501489162445068,1.0133389234542847,CTR-7F3A9C,0.6101496041555367,0.5119221210479736,False,0,0.8953310309905794,0,0,NONE
2026-04-29 12:28:20.247,2,-0.2631378173828125,-2.088463068008423,1.04136061668396,CTR-7F3A9C,1.1824298598621676,10.680992841720581,True,12.905302286148071,1.2004059089319454,4.5,1,TELEMETRY_LOSS
2026-04-29 12:28:21.058,1,0.39938515424728394,-1.850140929222107,1.0088571310043335,CTR-7F3A9C,0.6101412390154559,0.19528484344482422,False,0,0.8953310309905794,0,0,NONE
2026-04-29 12:28:21.123,2,-0.2631378173828125,-2.088463068008423,1.04136061668396,CTR-7F3A9C,1.1824298598621676,11.56260347366333,True,13.836770296096802,1.2004059089319454,5.0,1,TELEMETRY_LOSS
2026-04-29 12:28:21.979,1,0.39979100227355957,-1.8496313095092773,0.9973554015159607,CTR-7F3A9C,0.6096313453342487,0.5162839889526367,False,0,0.8953310309905794,0,0,NONE
