event_id,drone_id,timestamp,anomaly_type,experiment_time,distance_to_path,data_age,max_deviation,telemetry_loss,hijack_duration,success_criteria_met,event_type
0,1,2026-05-04 14:39:07,NONE,20.65536856651306,0.0029683899879455466,0.45428895950317383,0.0029683899879455466,0,0,0,DETECTION
1,2,2026-05-04 14:39:07,NONE,20.835076093673706,0.01854885458946226,0.4594082832336426,0.01854885458946226,0,0,0,DETECTION
2,1,2026-05-04 14:39:08,NONE,21.711610317230225,0.025288592128551533,0.4224252700805664,0.025288592128551533,0,0,0,DETECTION
3,2,2026-05-04 14:39:08,NONE,21.717132091522217,0.037436333602291295,0.41808581352233887,0.037436333602291295,0,0,0,DETECTION
4,1,2026-05-04 14:39:08,NONE,22.42314839363098,0.003384273052215586,0.5205390453338623,0.025288592128551533,0,0,0,DETECTION
5,2,2026-05-04 14:39:08,NONE,22.427278995513916,0.027070737701202077,0.5254731178283691,0.037436333602291295,0,0,0,DETECTION
6,1,2026-05-04 14:39:09,NONE,23.170751810073853,0.007822428345680227,0.08145999908447266,0.025288592128551533,0,0,0,DETECTION
7,2,2026-05-04 14:39:09,NONE,23.174482345581055,0.03461095998834384,0.07579922676086426,0.037436333602291295,0,0,0,DETECTION
8,1,2026-05-04 14:39:10,NONE,23.937516927719116,0.0004470008611679177,0.24550580978393555,0.025288592128551533,0,0,0,DETECTION
9,2,2026-05-04 14:39:10,NONE,23.94269561767578,0.033835819950438384,0.24038267135620117,0.037436333602291295,0,0,0,DETECTION
10,1,2026-05-04 14:39:11,NONE,24.70650839805603,0.003339264988899221,0.4177429676055908,0.025288592128551533,0,0,0,DETECTION
11,2,2026-05-04 14:39:11,NONE,24.71008825302124,0.025303044319152812,0.4127461910247803,0.037436333602291295,0,0,0,DETECTION
12,1,2026-05-04 14:39:11,NONE,25.48784828186035,0.008980934023857107,0.6002087593078613,0.025288592128551533,0,0,0,DETECTION
13,2,2026-05-04 14:39:11,NONE,25.49200201034546,0.04275072600929516,0.5956883430480957,0.04275072600929516,0,0,0,DETECTION
14,1,2026-05-04 14:39:12,NONE,26.278945922851562,0.006204779744148264,0.18596816062927246,0.025288592128551533,0,0,0,DETECTION
15,2,2026-05-04 14:39:12,NONE,26.362703323364258,0.030199893712997417,0.18145966529846191,0.04275072600929516,0,0,0,DETECTION
16,1,2026-05-04 14:39:13,NONE,27.22635817527771,0.005629803538322459,0.5336661338806152,0.025288592128551533,0,0,0,DETECTION
17,2,2026-05-04 14:39:13,NONE,27.230488300323486,0.026280709505081157,0.5284249782562256,0.04275072600929516,0,0,0,DETECTION
18,1,2026-05-04 14:39:14,NONE,28.022326707839966,0.007636542916297923,0.12645554542541504,0.025288592128551533,0,0,0,DETECTION
19,2,2026-05-04 14:39:14,NONE,28.027307987213135,0.01902238368988035,0.1216421127319336,0.04275072600929516,0,0,0,DETECTION
20,1,2026-05-04 14:39:15,NONE,28.86132311820984,0.009900029301643382,0.3743870258331299,0.025288592128551533,0,0,0,DETECTION
21,2,2026-05-04 14:39:15,NONE,28.86530590057373,0.01827771306037901,0.36959171295166016,0.04275072600929516,0,0,0,DETECTION
22,1,2026-05-04 14:39:16,NONE,29.76558518409729,0,0.02001643180847168,0.025288592128551533,0,0,0,DETECTION
23,2,2026-05-04 14:39:16,NONE,29.888829708099365,0,0.01481318473815918,0.04275072600929516,0,0,0,DETECTION
24,1,2026-05-04 14:39:17,NONE,30.754168033599854,0.037593238519824095,0.46016931533813477,0.037593238519824095,0,0,0,DETECTION
25,2,2026-05-04 14:39:17,NONE,30.75785517692566,0.04393232583999629,0.4553952217102051,0.04393232583999629,0,0,0,DETECTION
26,1,2026-05-04 14:39:17,NONE,31.59128427505493,0.008102711860206375,0.09666967391967773,0.037593238519824095,0,0,0,DETECTION
27,2,2026-05-04 14:39:18,NONE,31.65918779373169,0.016911411038796693,0.09165215492248535,0.04393232583999629,0,0,0,DETECTION
28,1,2026-05-04 14:39:18,NONE,32.54543137550354,0.011860361099243155,0.44860148429870605,0.037593238519824095,0,0,0,DETECTION
