event_id,drone_id,timestamp,anomaly_type,experiment_time,distance_to_path,data_age,max_deviation,telemetry_loss,hijack_duration,success_criteria_met,event_type
0,1,2026-05-05 14:18:41,TELEMETRY_LOSS,97.11119174957275,0.010070521831512441,3.362834930419922,0.03231434078286131,3.362834930419922,0,1,DETECTION
1,1,2026-05-05 14:18:41,TELEMETRY_LOSS,97.11119174957275,0.010070521831512441,3.362834930419922,0.03231434078286131,3.362834930419922,0,1,START
2,1,2026-05-05 14:18:42,TELEMETRY_LOSS,98.58718156814575,0.010070521831512441,4.83880877494812,0.03231434078286131,4.83882474899292,0,1,DETECTION
3,2,2026-05-05 14:18:52,PATH_DEVIATION,108.12437629699707,0.413346495628357,0.4889414310455322,0.413346495628357,0,0,0,DETECTION
4,2,2026-05-05 14:18:52,PATH_DEVIATION,108.12437629699707,0.413346495628357,0.4889414310455322,0.413346495628357,0,0,0,START
5,2,2026-05-05 14:18:54,PATH_DEVIATION,109.97199583053589,1.1098918879032136,0.514193058013916,1.1098918879032136,0,0,1,DETECTION
6,2,2026-05-05 14:18:55,PATH_DEVIATION,111.82006287574768,1.1154155099391938,1.181687593460083,1.1154155099391938,0,1.8476195335388184,1,DETECTION
7,2,2026-05-05 14:18:57,PATH_DEVIATION,113.54381227493286,1.0267195665836335,0.40883445739746094,1.1154155099391938,0,3.6956865787506104,1,DETECTION
8,2,2026-05-05 14:18:59,PATH_DEVIATION,115.04824876785278,1.0763647241145373,0.20889616012573242,1.1154155099391938,0,5.419435977935791,1,DETECTION
9,2,2026-05-05 14:19:00,PATH_DEVIATION,116.8739857673645,1.0896422420954333,0.2219855785369873,1.1154155099391938,0,6.923872470855713,1,DETECTION
10,2,2026-05-05 14:19:02,PATH_DEVIATION,118.39982914924622,1.087459656558931,0.5775659084320068,1.1154155099391938,0,8.749609470367432,1,DETECTION
11,2,2026-05-05 14:19:04,PATH_DEVIATION,120.07246470451355,1.0818923620134593,0.35841870307922363,1.1154155099391938,0,10.275452852249146,1,DETECTION
12,2,2026-05-05 14:19:05,PATH_DEVIATION,121.73245644569397,1.0954608215577901,0.3014223575592041,1.1154155099391938,0,11.94808840751648,1,DETECTION
13,2,2026-05-05 14:19:07,PATH_DEVIATION,123.51464080810547,1.0868913269694895,0.27478528022766113,1.1154155099391938,0,13.6080801486969,1,DETECTION
14,2,2026-05-05 14:19:09,PATH_DEVIATION,125.51483678817749,1.093716348670423,0.38330507278442383,1.1154155099391938,0,15.390264511108398,1,DETECTION
15,2,2026-05-05 14:19:11,PATH_DEVIATION,127.28775334358215,1.0816563583537937,0.4487612247467041,1.1154155099391938,0,17.39046049118042,1,DETECTION
16,2,2026-05-05 14:19:12,PATH_DEVIATION,128.84314393997192,1.0823631735146046,0.805288553237915,1.1154155099391938,0,19.163377046585083,1,DETECTION
17,2,2026-05-05 14:19:14,PATH_DEVIATION,130.61696910858154,1.0212958766293996,0.10654735565185547,1.1154155099391938,0,20.718767642974854,1,DETECTION
18,2,2026-05-05 14:19:16,PATH_DEVIATION,132.28920674324036,0.9153949733362824,0.0522613525390625,1.1154155099391938,0,22.492592811584473,0,DETECTION
19,2,2026-05-05 14:19:18,PATH_DEVIATION,134.14039707183838,6.791606973535775,0.004136562347412109,6.791606973535775,0,24.164830446243286,1,DETECTION
20,2,2026-05-05 14:19:20,PATH_DEVIATION,136.1349058151245,1.1318864741507064,0.2107698917388916,6.791606973535775,0,26.01602077484131,1,DETECTION
21,2,2026-05-05 14:19:21,PATH_DEVIATION,137.79726576805115,1.1285426575810367,0.1451244354248047,6.791606973535775,0,28.01052951812744,1,DETECTION
22,2,2026-05-05 14:19:24,PATH_DEVIATION,139.97550201416016,1.1319478783895078,0.4745604991912842,6.791606973535775,0,29.672889471054077,1,DETECTION
23,2,2026-05-05 14:19:24,PATH_DEVIATION,140.52357077598572,1.133827783085327,0.43047189712524414,6.791606973535775,0,31.851125717163086,1,DETECTION
24,2,2026-05-05 14:19:26,PATH_DEVIATION,142.3349757194519,1.1293353894080402,0.4155104160308838,6.791606973535775,0,32.39919447898865,1,DETECTION
25,2,2026-05-05 14:19:26,PATH_DEVIATION,142.88507890701294,1.1304130782244848,0.4473419189453125,6.791606973535775,0,34.210599422454834,1,DETECTION
26,2,2026-05-05 14:19:28,PATH_DEVIATION,144.85876202583313,1.128047824884517,0.5509634017944336,6.791606973535775,0,34.76070261001587,1,DETECTION
27,2,2026-05-05 14:19:30,PATH_DEVIATION,146.95301580429077,1.131944987729991,0.300961971282959,6.791606973535775,0,36.73438572883606,1,DETECTION
28,2,2026-05-05 14:19:31,PATH_DEVIATION,147.70747828483582,1.1333509283732646,0.3797788619995117,6.791606973535775,0,38.8286395072937,1,DETECTION
