event_id,drone_id,timestamp,anomaly_type,experiment_time,distance_to_path,data_age,max_deviation,telemetry_loss,hijack_duration,success_criteria_met,event_type
0,2,2026-02-03 11:52:12,NONE,43.439452171325684,0.984524054339257,-0.059388160705566406,0.984524054339257,0,0,0,DETECTION
1,1,2026-02-03 11:52:14,NONE,45.70077347755432,0.7361868702826462,0.498096227645874,0.7361868702826462,0,0,0,DETECTION
2,2,2026-02-03 11:52:14,PATH_DEVIATION,45.89971041679382,1.0293444366934157,0.4927034378051758,1.0293444366934157,0,0,1,DETECTION
3,2,2026-02-03 11:52:15,PATH_DEVIATION,45.89971041679382,1.0293444366934157,0.4927034378051758,1.0293444366934157,0,0,1,START
4,1,2026-02-03 11:52:17,NONE,48.49817252159119,0.7223214957059717,0.29958319664001465,0.7361868702826462,0,0,0,DETECTION
5,2,2026-02-03 11:52:17,NONE,48.50388860702515,0.9798753923264111,0.2933998107910156,1.0293444366934157,0,0,0,DETECTION
6,2,2026-02-03 11:52:17,NONE,48.50388860702515,0.9798753923264111,0.2933998107910156,1.0293444366934157,0,2.6041781902313232,0,END
7,1,2026-02-03 11:52:19,NONE,50.891438245773315,0.4999885567841373,0.2935142517089844,0.7361868702826462,0,0,0,DETECTION
8,2,2026-02-03 11:52:19,NONE,50.95091009140015,0.6694739192335841,0.288907527923584,1.0293444366934157,0,2.6041781902313232,0,DETECTION
9,1,2026-02-03 11:52:22,NONE,53.124231815338135,0.444492627918828,0.08998584747314453,0.7361868702826462,0,0,0,DETECTION
10,2,2026-02-03 11:52:22,NONE,53.197216749191284,0.5423934400619402,0.07155466079711914,1.0293444366934157,0,2.6041781902313232,0,DETECTION
11,1,2026-02-03 11:52:24,NONE,55.51783013343811,0.4456216613537305,0.1199195384979248,0.7361868702826462,0,0,0,DETECTION
12,2,2026-02-03 11:52:24,NONE,55.52492952346802,0.5327553192998808,0.11571598052978516,1.0293444366934157,0,2.6041781902313232,0,DETECTION
13,1,2026-02-03 11:52:27,NONE,58.15044188499451,0.4487428665079419,0.337932825088501,0.7361868702826462,0,0,0,DETECTION
14,2,2026-02-03 11:52:27,NONE,58.243295431137085,0.5335267371713557,0.34430456161499023,1.0293444366934157,0,2.6041781902313232,0,DETECTION
15,1,2026-02-03 11:52:29,NONE,60.30645036697388,0.30309477429836945,0.10557389259338379,0.7361868702826462,0,0,0,DETECTION
16,2,2026-02-03 11:52:29,NONE,60.309722661972046,0.35750201154173566,0.10066413879394531,1.0293444366934157,0,2.6041781902313232,0,DETECTION
17,1,2026-02-03 11:52:31,NONE,62.589619636535645,0.3549874666636904,0.43221592903137207,0.7361868702826462,0,0,0,DETECTION
18,2,2026-02-03 11:52:31,NONE,62.66118335723877,0.434151966780203,0.4267106056213379,1.0293444366934157,0,2.6041781902313232,0,DETECTION
19,1,2026-02-03 11:52:34,NONE,65.02229642868042,0.4462431084494779,0.02596735954284668,0.7361868702826462,0,0,0,DETECTION
20,2,2026-02-03 11:52:34,NONE,65.11186218261719,0.5375743657414793,0.6062295436859131,1.0293444366934157,0,2.6041781902313232,0,DETECTION
21,1,2026-02-03 11:52:36,NONE,67.60334181785583,0.4507579746215649,0.1912248134613037,0.7361868702826462,0,0,0,DETECTION
22,2,2026-02-03 11:52:36,NONE,67.60632634162903,0.5499619724752995,0.1824181079864502,1.0293444366934157,0,2.6041781902313232,0,DETECTION
